,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
99,200,7000,7017,14899.91535,14844.0,-11183.069999999861,-0.0037527293737276146,2022-08-29 12:10:00,2022-08-29 13:35:00,0 days 01:25:00
100,200,7027,7066,14875.90743,14976.0,20018.51400000014,0.006728501805419063,2022-08-30 09:25:00,2022-08-30 12:40:00,0 days 03:15:00
101,-200,7066,7077,14971.05792,14938.0,6611.583999999857,0.0022081218426012184,2022-08-30 12:40:00,2022-08-30 13:35:00,0 days 00:55:00
102,-200,7147,7197,14755.1292,14731.0,4825.83999999988,0.0016353092997654084,2022-09-01 09:25:00,2022-09-01 13:35:00,0 days 04:10:00
103,-200,7396,7437,14360.259549999999,14342.0,3651.9099999997707,0.0012715334243383891,2022-09-07 10:10:00,2022-09-07 13:35:00,0 days 03:25:00
104,200,7447,7497,14404.751999999999,14516.0,22249.600000000282,0.0077230069632576726,2022-09-08 09:25:00,2022-09-08 13:35:00,0 days 04:10:00
105,200,7507,7557,14756.86816,14791.0,6826.368000000002,0.0023129460553505954,2022-09-12 09:25:00,2022-09-12 13:35:00,0 days 04:10:00
106,200,7567,7617,14905.917329999998,14871.0,-6983.46599999968,-0.002342514668971285,2022-09-13 09:25:00,2022-09-13 13:35:00,0 days 04:10:00
107,-200,7631,7677,14582.18629,14586.0,-762.7420000000711,-0.0002615321135086557,2022-09-14 09:45:00,2022-09-14 13:35:00,0 days 03:50:00
108,-200,7987,8006,14123.337759999999,14227.902999999998,-20913.04799999998,-0.007403720124583346,2022-09-22 09:25:00,2022-09-22 11:00:00,0 days 01:35:00
109,200,8007,8037,14235.69623,14222.0,-2739.245999999912,-0.0009621046823924395,2022-09-22 11:05:00,2022-09-22 13:35:00,0 days 02:30:00
110,-200,8084,8097,14069.35558,14116.0,-9328.884000000107,-0.003315320288464818,2022-09-23 12:30:00,2022-09-23 13:35:00,0 days 01:05:00
111,-200,8107,8157,13866.422569999999,13758.0,21684.513999999763,0.007819072976657404,2022-09-26 09:25:00,2022-09-26 13:35:00,0 days 04:10:00
112,200,8167,8179,13796.55136,13756.0,-8110.271999999895,-0.002939238867878946,2022-09-27 09:25:00,2022-09-27 10:25:00,0 days 01:00:00
113,-200,8244,8277,13521.536419999999,13499.0,4507.283999999709,0.0016667055651060636,2022-09-28 10:50:00,2022-09-28 13:35:00,0 days 02:45:00
114,200,8287,8300,13618.492619999999,13517.709,-20156.723999999667,-0.007400497456817479,2022-09-29 09:25:00,2022-09-29 10:30:00,0 days 01:05:00
115,200,8498,8517,13613.490969999999,13586.0,-5498.193999999785,-0.0020193916505751863,2022-10-04 12:00:00,2022-10-04 13:35:00,0 days 01:35:00
116,200,8527,8559,13811.55631,13802.0,-1911.261999999988,-0.0006919068195870848,2022-10-05 09:25:00,2022-10-05 12:05:00,0 days 02:40:00
117,-200,8560,8577,13793.44666,13790.0,689.3319999999221,0.00024987663235720436,2022-10-05 12:10:00,2022-10-05 13:35:00,0 days 01:25:00
118,-200,8707,8757,13240.629149999999,13094.0,29325.82999999977,0.01107418298170515,2022-10-11 09:25:00,2022-10-11 13:35:00,0 days 04:10:00
119,200,8767,8768,13037.300889999999,13025.0,-2460.1779999997234,-0.0009435150805972015,2022-10-12 09:25:00,2022-10-12 09:30:00,0 days 00:05:00
120,-200,8769,8786,13011.70472,13108.118999999999,-19282.85599999981,-0.007409811556190915,2022-10-12 09:35:00,2022-10-12 11:00:00,0 days 01:25:00
121,200,8790,8817,13118.32762,13078.0,-8065.524000000005,-0.0030741433792610406,2022-10-12 11:20:00,2022-10-12 13:35:00,0 days 02:15:00
122,200,8850,8851,12897.25469,12884.0,-2650.937999999951,-0.0010277140615263525,2022-10-13 11:20:00,2022-10-13 11:25:00,0 days 00:05:00
123,-200,8852,8877,12871.750919999999,12813.0,11750.183999999717,0.004564330087269752,2022-10-13 11:30:00,2022-10-13 13:35:00,0 days 02:05:00
124,200,8887,8928,13121.328609999999,13175.0,10734.278000000268,0.004090392946877186,2022-10-14 09:25:00,2022-10-14 12:50:00,0 days 03:25:00
125,-200,8930,8937,13174.65093,13152.0,4530.185999999958,0.0017192812257682544,2022-10-14 13:00:00,2022-10-14 13:35:00,0 days 00:35:00
126,-200,8947,8976,12913.73706,12950.0,-7252.588000000105,-0.0028080903174283467,2022-10-17 09:25:00,2022-10-17 11:50:00,0 days 02:25:00
127,200,8977,8997,12957.27449,12968.0,2145.1020000000426,0.0008277597274239934,2022-10-17 11:55:00,2022-10-17 13:35:00,0 days 01:40:00
128,-200,9127,9144,12691.810319999999,12786.885999999999,-19015.135999999984,-0.007491104704754115,2022-10-20 09:25:00,2022-10-20 10:50:00,0 days 01:25:00
129,200,9164,9177,12794.2207,12905.0,22155.86000000003,0.008658542211953613,2022-10-20 12:30:00,2022-10-20 13:35:00,0 days 01:05:00
130,-200,9527,9537,12767.78524,12772.0,-842.9520000001503,-0.0003301089359488696,2022-10-28 12:45:00,2022-10-28 13:35:00,0 days 00:50:00
131,200,9547,9597,12853.24017,12939.0,17151.966000000175,0.006672234305569624,2022-10-31 09:25:00,2022-10-31 13:35:00,0 days 04:10:00
132,200,9622,9638,13084.3164,13036.0,-9663.27999999994,-0.003692695783480082,2022-11-01 10:40:00,2022-11-01 12:00:00,0 days 01:20:00
133,-200,9639,9657,13027.699439999999,13036.0,-1660.1120000002993,-0.0006371470295449821,2022-11-01 12:05:00,2022-11-01 13:35:00,0 days 01:30:00
134,200,9849,9897,13124.3296,13227.0,20534.080000000176,0.007822906245817052,2022-11-07 09:35:00,2022-11-07 13:35:00,0 days 04:00:00
135,200,9907,9953,13345.40253,13334.0,-2280.5059999998775,-0.0008544163410857397,2022-11-08 09:25:00,2022-11-08 13:15:00,0 days 03:50:00
136,200,9967,10017,13487.44939,13607.0,23910.122000000047,0.00886384123069539,2022-11-09 09:25:00,2022-11-09 13:35:00,0 days 04:10:00
137,-200,10027,10077,13555.5252,13492.0,12705.040000000008,0.00468629574013113,2022-11-10 09:25:00,2022-11-10 13:35:00,0 days 04:10:00
138,200,10087,10090,14007.62099,13904.979,-20528.398000000016,-0.007327581897973667,2022-11-11 09:25:00,2022-11-11 09:40:00,0 days 00:15:00
139,200,10091,10137,13902.58634,14035.0,26482.732000000033,0.009524390409216599,2022-11-11 09:45:00,2022-11-11 13:35:00,0 days 03:50:00
140,200,10147,10188,14128.660919999998,14155.0,5267.816000000312,0.0018642304567388912,2022-11-14 09:25:00,2022-11-14 12:50:00,0 days 03:25:00
141,-200,10189,10197,14147.329839999999,14145.0,465.96799999970244,0.0001646840800595406,2022-11-14 12:55:00,2022-11-14 13:35:00,0 days 00:40:00
142,200,10207,10257,14333.72857,14551.0,43454.28600000014,0.015158053882416977,2022-11-15 09:25:00,2022-11-15 13:35:00,0 days 04:10:00
143,-200,10267,10278,14515.2084,14619.625999999998,-20883.51999999977,-0.007193668676503284,2022-11-16 09:25:00,2022-11-16 10:20:00,0 days 00:55:00
144,-200,10281,10285,14632.16979,14585.0,9433.957999999984,0.0032237043908714957,2022-11-16 10:35:00,2022-11-16 10:55:00,0 days 00:20:00
145,200,10286,10317,14575.80843,14501.0,-14961.685999999827,-0.0051323691827637186,2022-11-16 11:00:00,2022-11-16 13:35:00,0 days 02:35:00
146,200,10627,10677,14678.842419999999,14767.0,17631.516000000192,0.006005758320553056,2022-11-24 09:25:00,2022-11-24 13:35:00,0 days 04:10:00
147,-200,10687,10737,14764.12623,14720.0,8825.24599999997,0.002988746459667735,2022-11-25 09:25:00,2022-11-25 13:35:00,0 days 04:10:00
148,-200,10756,10766,14466.224569999998,14573.303999999998,-21415.885999999955,-0.007402030120703396,2022-11-28 10:10:00,2022-11-28 11:00:00,0 days 00:50:00
149,200,10903,10917,14807.884989999999,14821.0,2623.0020000002696,0.0008856774623018371,2022-11-30 12:25:00,2022-11-30 13:35:00,0 days 01:10:00
150,200,10927,10949,15064.969799999999,14971.0,-18793.959999999788,-0.00623763613518824,2022-12-01 09:25:00,2022-12-01 11:15:00,0 days 01:50:00
151,-200,10950,10977,14935.0698,14976.0,-8186.040000000139,-0.002740542933384882,2022-12-01 11:20:00,2022-12-01 13:35:00,0 days 02:15:00
152,-200,11114,11157,14814.10973,14686.0,25621.946000000025,0.008647818352564673,2022-12-06 10:00:00,2022-12-06 13:35:00,0 days 03:35:00
153,-200,11167,11177,14682.153289999998,14758.0,-15169.342000000324,-0.0051659118728626385,2022-12-07 09:25:00,2022-12-07 10:15:00,0 days 00:50:00
154,200,11178,11187,14738.862219999999,14629.869,-21798.643999999695,-0.007394954805405529,2022-12-07 10:20:00,2022-12-07 11:05:00,0 days 00:45:00
155,-200,11189,11208,14616.17507,14664.0,-9564.986000000135,-0.00327205508766526,2022-12-07 11:15:00,2022-12-07 12:50:00,0 days 01:35:00
156,-200,11227,11251,14507.21104,14513.0,-1157.7919999999722,-0.00039904017278291626,2022-12-08 09:25:00,2022-12-08 11:25:00,0 days 02:00:00
157,200,11252,11277,14512.787639999999,14500.0,-2557.527999999729,-0.0008811291336444649,2022-12-08 11:30:00,2022-12-08 13:35:00,0 days 02:05:00
158,200,11307,11327,14696.84836,14680.0,-3369.6719999999914,-0.0011463927222556958,2022-12-09 11:05:00,2022-12-09 12:45:00,0 days 01:40:00
159,-200,11328,11337,14669.15758,14680.0,-2168.4840000001714,-0.0007391303788830683,2022-12-09 12:50:00,2022-12-09 13:35:00,0 days 00:45:00
160,-200,11348,11397,14527.20444,14576.0,-9759.112000000096,-0.003358909155683376,2022-12-12 09:30:00,2022-12-12 13:35:00,0 days 04:05:00
161,-200,11599,11637,14475.221599999999,14476.0,-155.6800000002113,-5.377465171241269e-05,2022-12-16 10:25:00,2022-12-16 13:35:00,0 days 03:10:00
162,-200,11742,11757,14146.33017,14137.0,1866.0339999998541,0.0006595470265344794,2022-12-20 12:20:00,2022-12-20 13:35:00,0 days 01:15:00
163,200,11767,11817,14231.694909999998,14163.0,-13738.981999999669,-0.004826895913271012,2022-12-21 09:25:00,2022-12-21 13:35:00,0 days 04:10:00
164,-200,11889,11937,14183.317959999998,14203.0,-3936.4080000003014,-0.0013876894007107676,2022-12-23 09:35:00,2022-12-23 13:35:00,0 days 04:00:00
165,200,12012,12038,14368.740119999999,14338.0,-6148.023999999714,-0.0021393747637770133,2022-12-27 09:50:00,2022-12-27 12:00:00,0 days 02:10:00
166,-200,12039,12057,14307.277039999999,14305.0,455.40799999980663,0.00015915257624721235,2022-12-27 12:05:00,2022-12-27 13:35:00,0 days 01:30:00
167,-200,12067,12117,14158.32621,14115.0,8665.241999999853,0.0030601223165347413,2022-12-28 09:25:00,2022-12-28 13:35:00,0 days 04:10:00
